experiment.id,a.primer,p1.primer,assay.type,evo.time.point,assay.time.point,replicate,medium,ploidy,n.mobyBCs.in.exp,n.mobyBCs.per.well,sample.set,pur.pool,proc.plate,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23
22_S13_E,Ion_19,Ion_R6,evolution,T=22,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
24_S13_E,Ion_19,Ion_R7,evolution,T=24,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
25_S13_E,Ion_19,Ion_R8,evolution,T=25,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
0_S14_E,Ion_20,Ion_R2,evolution,T=0,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
10_S14_E,Ion_20,Ion_R3,evolution,T=10,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
15_S14_E,Ion_20,Ion_R4,evolution,T=15,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
20_S14_E,Ion_20,Ion_R5,evolution,T=20,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
22_S14_E,Ion_20,Ion_R6,evolution,T=22,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
24_S14_E,Ion_20,Ion_R7,evolution,T=24,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
25_S14_E,Ion_20,Ion_R8,evolution,T=25,,,CM,diploid,22,2,S14,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D4,d1E4,d1D5,d1E5,d1D6,d1E6,d1D7,d1E7,d1D8,d1E8,
0_S15_E,Ion_21,Ion_R2,evolution,T=0,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
10_S15_E,Ion_21,Ion_R3,evolution,T=10,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
15_S15_E,Ion_21,Ion_R4,evolution,T=15,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
20_S15_E,Ion_21,Ion_R5,evolution,T=20,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
22_S15_E,Ion_21,Ion_R6,evolution,T=22,,,CM+Ethanol,diploid,22,2,S15,r2,reprocess,d1A2,d1H2,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,
